Essay ID,Edit Style,System,Metric,Submetric,Score
37,Fluency,UAM-CSI,GLEU,,73.24
38,Fluency,UAM-CSI,GLEU,,60.94
39,Fluency,UAM-CSI,GLEU,,36.53
40,Fluency,UAM-CSI,GLEU,,73.29
41,Fluency,UAM-CSI,GLEU,,55.12
42,Fluency,UAM-CSI,GLEU,,56.88
43,Fluency,UAM-CSI,GLEU,,67.38
44,Fluency,UAM-CSI,GLEU,,81.08
45,Fluency,UAM-CSI,GLEU,,71.4
46,Fluency,UAM-CSI,GLEU,,62.25
47,Fluency,UAM-CSI,GLEU,,42.33
48,Fluency,UAM-CSI,GLEU,,50.51
49,Fluency,UAM-CSI,GLEU,,51.18
50,Fluency,UAM-CSI,GLEU,,35.02
1,Minimal,Viking-7B,GLEU,,35.19
2,Minimal,Viking-7B,GLEU,,38.85
3,Minimal,Viking-7B,GLEU,,28.19
4,Minimal,Viking-7B,GLEU,,16.34
5,Minimal,Viking-7B,GLEU,,59.42
6,Minimal,Viking-7B,GLEU,,44.39
7,Minimal,Viking-7B,GLEU,,45.98
8,Minimal,Viking-7B,GLEU,,19.33
9,Minimal,Viking-7B,GLEU,,14.94
10,Minimal,Viking-7B,GLEU,,64.44
11,Minimal,Viking-7B,GLEU,,63.44
12,Minimal,Viking-7B,GLEU,,29.53
13,Minimal,Viking-7B,GLEU,,41.98
14,Minimal,Viking-7B,GLEU,,28.89
15,Minimal,Viking-7B,GLEU,,59.29
16,Minimal,Viking-7B,GLEU,,51.54
17,Minimal,Viking-7B,GLEU,,53.79
18,Minimal,Viking-7B,GLEU,,30.97
19,Minimal,Viking-7B,GLEU,,23.5
20,Minimal,Viking-7B,GLEU,,28.38
21,Minimal,Viking-7B,GLEU,,27.1
22,Minimal,Viking-7B,GLEU,,34.39
23,Minimal,Viking-7B,GLEU,,42.59
24,Minimal,Viking-7B,GLEU,,30.93
25,Minimal,Viking-7B,GLEU,,84.98
26,Minimal,Viking-7B,GLEU,,56.55
27,Minimal,Viking-7B,GLEU,,52.22
28,Minimal,Viking-7B,GLEU,,28.84
29,Minimal,Viking-7B,GLEU,,68.18
30,Minimal,Viking-7B,GLEU,,45.01
31,Minimal,Viking-7B,GLEU,,41.65
32,Minimal,Viking-7B,GLEU,,42.12
33,Minimal,Viking-7B,GLEU,,28.18
34,Minimal,Viking-7B,GLEU,,13.98
35,Minimal,Viking-7B,GLEU,,52.3
36,Minimal,Viking-7B,GLEU,,47.09
37,Minimal,Viking-7B,GLEU,,75.37
38,Minimal,Viking-7B,GLEU,,52.8
39,Minimal,Viking-7B,GLEU,,36.42
40,Minimal,Viking-7B,GLEU,,67.66
41,Minimal,Viking-7B,GLEU,,58.49
42,Minimal,Viking-7B,GLEU,,65.42
43,Minimal,Viking-7B,GLEU,,50.54
44,Minimal,Viking-7B,GLEU,,78.6
45,Minimal,Viking-7B,GLEU,,62.09
46,Minimal,Viking-7B,GLEU,,56.93
47,Minimal,Viking-7B,GLEU,,42.88
48,Minimal,Viking-7B,GLEU,,44.7
49,Minimal,Viking-7B,GLEU,,52.23
50,Minimal,Viking-7B,GLEU,,29.25
1,Fluency,Viking-7B,GLEU,,32.66
2,Fluency,Viking-7B,GLEU,,42.72
3,Fluency,Viking-7B,GLEU,,25.35
4,Fluency,Viking-7B,GLEU,,28.52
5,Fluency,Viking-7B,GLEU,,60.64
6,Fluency,Viking-7B,GLEU,,51.5
7,Fluency,Viking-7B,GLEU,,53.12
8,Fluency,Viking-7B,GLEU,,28.29
9,Fluency,Viking-7B,GLEU,,15.94
10,Fluency,Viking-7B,GLEU,,67.91
11,Fluency,Viking-7B,GLEU,,60.52
12,Fluency,Viking-7B,GLEU,,39.17
13,Fluency,Viking-7B,GLEU,,46.5
14,Fluency,Viking-7B,GLEU,,41.8
15,Fluency,Viking-7B,GLEU,,65.15
16,Fluency,Viking-7B,GLEU,,47.81
17,Fluency,Viking-7B,GLEU,,51.52
18,Fluency,Viking-7B,GLEU,,40.04
19,Fluency,Viking-7B,GLEU,,27.3
20,Fluency,Viking-7B,GLEU,,51.1
21,Fluency,Viking-7B,GLEU,,20.24
22,Fluency,Viking-7B,GLEU,,31.61
23,Fluency,Viking-7B,GLEU,,47.55
24,Fluency,Viking-7B,GLEU,,42.36
25,Fluency,Viking-7B,GLEU,,80.1
26,Fluency,Viking-7B,GLEU,,61.57
27,Fluency,Viking-7B,GLEU,,43.28
28,Fluency,Viking-7B,GLEU,,40.61
29,Fluency,Viking-7B,GLEU,,73.66
30,Fluency,Viking-7B,GLEU,,42.4
31,Fluency,Viking-7B,GLEU,,50.4
32,Fluency,Viking-7B,GLEU,,41.2
33,Fluency,Viking-7B,GLEU,,39.67
34,Fluency,Viking-7B,GLEU,,25.28
35,Fluency,Viking-7B,GLEU,,59.28
36,Fluency,Viking-7B,GLEU,,36.27
37,Fluency,Viking-7B,GLEU,,76.31
38,Fluency,Viking-7B,GLEU,,53.58
39,Fluency,Viking-7B,GLEU,,39.21
40,Fluency,Viking-7B,GLEU,,66.27
41,Fluency,Viking-7B,GLEU,,58.6
42,Fluency,Viking-7B,GLEU,,59.86
43,Fluency,Viking-7B,GLEU,,49.65
44,Fluency,Viking-7B,GLEU,,77.12
45,Fluency,Viking-7B,GLEU,,66.14
46,Fluency,Viking-7B,GLEU,,53.67
47,Fluency,Viking-7B,GLEU,,40.09
48,Fluency,Viking-7B,GLEU,,51.49
49,Fluency,Viking-7B,GLEU,,44.72
50,Fluency,Viking-7B,GLEU,,19.58
1,Minimal,Viking-13B,GLEU,,34.96
2,Minimal,Viking-13B,GLEU,,41.89
3,Minimal,Viking-13B,GLEU,,36.23
4,Minimal,Viking-13B,GLEU,,15.35
5,Minimal,Viking-13B,GLEU,,59.98
6,Minimal,Viking-13B,GLEU,,43.44
7,Minimal,Viking-13B,GLEU,,43.46
8,Minimal,Viking-13B,GLEU,,19.4
9,Minimal,Viking-13B,GLEU,,17.03
10,Minimal,Viking-13B,GLEU,,71.95
11,Minimal,Viking-13B,GLEU,,68.37
12,Minimal,Viking-13B,GLEU,,30.36
13,Minimal,Viking-13B,GLEU,,37.42
14,Minimal,Viking-13B,GLEU,,27.48
15,Minimal,Viking-13B,GLEU,,58.51
16,Minimal,Viking-13B,GLEU,,49.38
17,Minimal,Viking-13B,GLEU,,56.07
18,Minimal,Viking-13B,GLEU,,54.78
19,Minimal,Viking-13B,GLEU,,38.15
20,Minimal,Viking-13B,GLEU,,35.67
21,Minimal,Viking-13B,GLEU,,49.63
22,Minimal,Viking-13B,GLEU,,34.09
23,Minimal,Viking-13B,GLEU,,46.03
24,Minimal,Viking-13B,GLEU,,40.69
25,Minimal,Viking-13B,GLEU,,82.51
26,Minimal,Viking-13B,GLEU,,54.2
27,Minimal,Viking-13B,GLEU,,50.57
28,Minimal,Viking-13B,GLEU,,29.22
29,Minimal,Viking-13B,GLEU,,59.74
30,Minimal,Viking-13B,GLEU,,50.08
31,Minimal,Viking-13B,GLEU,,42.72
32,Minimal,Viking-13B,GLEU,,42.56
33,Minimal,Viking-13B,GLEU,,24.33
34,Minimal,Viking-13B,GLEU,,18.54
35,Minimal,Viking-13B,GLEU,,54.74
36,Minimal,Viking-13B,GLEU,,46.75
37,Minimal,Viking-13B,GLEU,,66.06
38,Minimal,Viking-13B,GLEU,,54.76
39,Minimal,Viking-13B,GLEU,,41.19
40,Minimal,Viking-13B,GLEU,,68.22
41,Minimal,Viking-13B,GLEU,,61.22
42,Minimal,Viking-13B,GLEU,,62.49
43,Minimal,Viking-13B,GLEU,,48.9
44,Minimal,Viking-13B,GLEU,,80.03
45,Minimal,Viking-13B,GLEU,,62.09
46,Minimal,Viking-13B,GLEU,,56.29
47,Minimal,Viking-13B,GLEU,,39.72
48,Minimal,Viking-13B,GLEU,,41.52
49,Minimal,Viking-13B,GLEU,,49.08
50,Minimal,Viking-13B,GLEU,,26.2
1,Fluency,Viking-13B,GLEU,,31.66
2,Fluency,Viking-13B,GLEU,,53.24
3,Fluency,Viking-13B,GLEU,,36.72
4,Fluency,Viking-13B,GLEU,,19.06
5,Fluency,Viking-13B,GLEU,,60.21
6,Fluency,Viking-13B,GLEU,,50.08
7,Fluency,Viking-13B,GLEU,,45.68
8,Fluency,Viking-13B,GLEU,,13.08
9,Fluency,Viking-13B,GLEU,,40.36
10,Fluency,Viking-13B,GLEU,,69.48
11,Fluency,Viking-13B,GLEU,,68.37
12,Fluency,Viking-13B,GLEU,,33.9
13,Fluency,Viking-13B,GLEU,,43.52
14,Fluency,Viking-13B,GLEU,,41.18
15,Fluency,Viking-13B,GLEU,,60.78
16,Fluency,Viking-13B,GLEU,,47.17
17,Fluency,Viking-13B,GLEU,,56.55
18,Fluency,Viking-13B,GLEU,,47.52
19,Fluency,Viking-13B,GLEU,,42.26
20,Fluency,Viking-13B,GLEU,,50.88
21,Fluency,Viking-13B,GLEU,,35.93
22,Fluency,Viking-13B,GLEU,,34.47
23,Fluency,Viking-13B,GLEU,,48.53
24,Fluency,Viking-13B,GLEU,,44.81
25,Fluency,Viking-13B,GLEU,,81.22
26,Fluency,Viking-13B,GLEU,,52.33
27,Fluency,Viking-13B,GLEU,,43.71
28,Fluency,Viking-13B,GLEU,,42.63
29,Fluency,Viking-13B,GLEU,,71.23
30,Fluency,Viking-13B,GLEU,,48.28
31,Fluency,Viking-13B,GLEU,,52.17
32,Fluency,Viking-13B,GLEU,,41.49
33,Fluency,Viking-13B,GLEU,,35.96
34,Fluency,Viking-13B,GLEU,,35.41
35,Fluency,Viking-13B,GLEU,,54.26
36,Fluency,Viking-13B,GLEU,,47.81
37,Fluency,Viking-13B,GLEU,,70.34
38,Fluency,Viking-13B,GLEU,,54.76
39,Fluency,Viking-13B,GLEU,,39.66
40,Fluency,Viking-13B,GLEU,,73.41
41,Fluency,Viking-13B,GLEU,,62.61
42,Fluency,Viking-13B,GLEU,,63.2
43,Fluency,Viking-13B,GLEU,,53.53
44,Fluency,Viking-13B,GLEU,,80.07
45,Fluency,Viking-13B,GLEU,,70.12
46,Fluency,Viking-13B,GLEU,,58.29
47,Fluency,Viking-13B,GLEU,,41.48
48,Fluency,Viking-13B,GLEU,,46.59
49,Fluency,Viking-13B,GLEU,,51.57
50,Fluency,Viking-13B,GLEU,,33.12
1,Minimal,UAM-CSI,ERRANT,Precision,81.25
2,Minimal,UAM-CSI,ERRANT,Precision,58.33
3,Minimal,UAM-CSI,ERRANT,Precision,46.88
4,Minimal,UAM-CSI,ERRANT,Precision,33.33
5,Minimal,UAM-CSI,ERRANT,Precision,41.38
6,Minimal,UAM-CSI,ERRANT,Precision,59.38
7,Minimal,UAM-CSI,ERRANT,Precision,57.89
8,Minimal,UAM-CSI,ERRANT,Precision,38.46
9,Minimal,UAM-CSI,ERRANT,Precision,38.89
10,Minimal,UAM-CSI,ERRANT,Precision,69.7
11,Minimal,UAM-CSI,ERRANT,Precision,50.0
12,Minimal,UAM-CSI,ERRANT,Precision,67.86
13,Minimal,UAM-CSI,ERRANT,Precision,63.33
14,Minimal,UAM-CSI,ERRANT,Precision,54.05
15,Minimal,UAM-CSI,ERRANT,Precision,61.11
16,Minimal,UAM-CSI,ERRANT,Precision,50.0
17,Minimal,UAM-CSI,ERRANT,Precision,56.76
18,Minimal,UAM-CSI,ERRANT,Precision,63.16
19,Minimal,UAM-CSI,ERRANT,Precision,50.0
20,Minimal,UAM-CSI,ERRANT,Precision,38.89
21,Minimal,UAM-CSI,ERRANT,Precision,64.29
22,Minimal,UAM-CSI,ERRANT,Precision,52.73
23,Minimal,UAM-CSI,ERRANT,Precision,62.5
24,Minimal,UAM-CSI,ERRANT,Precision,43.48
25,Minimal,UAM-CSI,ERRANT,Precision,60.0
26,Minimal,UAM-CSI,ERRANT,Precision,38.89
27,Minimal,UAM-CSI,ERRANT,Precision,56.67
28,Minimal,UAM-CSI,ERRANT,Precision,58.33
29,Minimal,UAM-CSI,ERRANT,Precision,61.9
30,Minimal,UAM-CSI,ERRANT,Precision,60.87
31,Minimal,UAM-CSI,ERRANT,Precision,53.85
32,Minimal,UAM-CSI,ERRANT,Precision,45.98
33,Minimal,UAM-CSI,ERRANT,Precision,25.0
34,Minimal,UAM-CSI,ERRANT,Precision,50.0
35,Minimal,UAM-CSI,ERRANT,Precision,31.71
36,Minimal,UAM-CSI,ERRANT,Precision,57.89
37,Minimal,UAM-CSI,ERRANT,Precision,44.44
38,Minimal,UAM-CSI,ERRANT,Precision,60.0
39,Minimal,UAM-CSI,ERRANT,Precision,57.58
40,Minimal,UAM-CSI,ERRANT,Precision,55.56
41,Minimal,UAM-CSI,ERRANT,Precision,78.57
42,Minimal,UAM-CSI,ERRANT,Precision,62.16
43,Minimal,UAM-CSI,ERRANT,Precision,58.06
44,Minimal,UAM-CSI,ERRANT,Precision,62.5
45,Minimal,UAM-CSI,ERRANT,Precision,69.23
46,Minimal,UAM-CSI,ERRANT,Precision,69.7
47,Minimal,UAM-CSI,ERRANT,Precision,62.26
48,Minimal,UAM-CSI,ERRANT,Precision,53.85
49,Minimal,UAM-CSI,ERRANT,Precision,63.33
50,Minimal,UAM-CSI,ERRANT,Precision,64.52
1,Fluency,UAM-CSI,ERRANT,Precision,72.22
2,Fluency,UAM-CSI,ERRANT,Precision,58.33
3,Fluency,UAM-CSI,ERRANT,Precision,43.24
4,Fluency,UAM-CSI,ERRANT,Precision,44.44
5,Fluency,UAM-CSI,ERRANT,Precision,35.71
6,Fluency,UAM-CSI,ERRANT,Precision,51.52
7,Fluency,UAM-CSI,ERRANT,Precision,81.25
8,Fluency,UAM-CSI,ERRANT,Precision,37.25
9,Fluency,UAM-CSI,ERRANT,Precision,22.22
10,Fluency,UAM-CSI,ERRANT,Precision,75.76
11,Fluency,UAM-CSI,ERRANT,Precision,58.33
12,Fluency,UAM-CSI,ERRANT,Precision,56.67
13,Fluency,UAM-CSI,ERRANT,Precision,60.0
14,Fluency,UAM-CSI,ERRANT,Precision,54.17
15,Fluency,UAM-CSI,ERRANT,Precision,64.71
16,Fluency,UAM-CSI,ERRANT,Precision,72.0
17,Fluency,UAM-CSI,ERRANT,Precision,60.61
18,Fluency,UAM-CSI,ERRANT,Precision,73.33
19,Fluency,UAM-CSI,ERRANT,Precision,54.69
20,Fluency,UAM-CSI,ERRANT,Precision,42.86
21,Fluency,UAM-CSI,ERRANT,Precision,57.14
22,Fluency,UAM-CSI,ERRANT,Precision,54.24
23,Fluency,UAM-CSI,ERRANT,Precision,59.38
24,Fluency,UAM-CSI,ERRANT,Precision,47.37
25,Fluency,UAM-CSI,ERRANT,Precision,64.29
26,Fluency,UAM-CSI,ERRANT,Precision,48.57
27,Fluency,UAM-CSI,ERRANT,Precision,58.06
28,Fluency,UAM-CSI,ERRANT,Precision,61.54
29,Fluency,UAM-CSI,ERRANT,Precision,61.9
30,Fluency,UAM-CSI,ERRANT,Precision,63.04
31,Fluency,UAM-CSI,ERRANT,Precision,53.85
32,Fluency,UAM-CSI,ERRANT,Precision,41.49
33,Fluency,UAM-CSI,ERRANT,Precision,25.81
34,Fluency,UAM-CSI,ERRANT,Precision,57.14
35,Fluency,UAM-CSI,ERRANT,Precision,35.71
36,Fluency,UAM-CSI,ERRANT,Precision,52.38
37,Fluency,UAM-CSI,ERRANT,Precision,50.0
38,Fluency,UAM-CSI,ERRANT,Precision,62.5
39,Fluency,UAM-CSI,ERRANT,Precision,47.37
40,Fluency,UAM-CSI,ERRANT,Precision,55.56
41,Fluency,UAM-CSI,ERRANT,Precision,66.67
42,Fluency,UAM-CSI,ERRANT,Precision,65.71
43,Fluency,UAM-CSI,ERRANT,Precision,67.65
44,Fluency,UAM-CSI,ERRANT,Precision,57.14
45,Fluency,UAM-CSI,ERRANT,Precision,70.83
46,Fluency,UAM-CSI,ERRANT,Precision,69.7
47,Fluency,UAM-CSI,ERRANT,Precision,58.82
48,Fluency,UAM-CSI,ERRANT,Precision,57.81
49,Fluency,UAM-CSI,ERRANT,Precision,70.37
50,Fluency,UAM-CSI,ERRANT,Precision,67.74
1,Minimal,Viking-7B,ERRANT,Precision,70.59
2,Minimal,Viking-7B,ERRANT,Precision,60.0
3,Minimal,Viking-7B,ERRANT,Precision,59.09
4,Minimal,Viking-7B,ERRANT,Precision,33.33
5,Minimal,Viking-7B,ERRANT,Precision,39.13
6,Minimal,Viking-7B,ERRANT,Precision,56.52
7,Minimal,Viking-7B,ERRANT,Precision,60.0
8,Minimal,Viking-7B,ERRANT,Precision,33.33
9,Minimal,Viking-7B,ERRANT,Precision,33.33
10,Minimal,Viking-7B,ERRANT,Precision,77.78
11,Minimal,Viking-7B,ERRANT,Precision,35.0
12,Minimal,Viking-7B,ERRANT,Precision,58.33
13,Minimal,Viking-7B,ERRANT,Precision,64.0
14,Minimal,Viking-7B,ERRANT,Precision,58.82
15,Minimal,Viking-7B,ERRANT,Precision,75.0
16,Minimal,Viking-7B,ERRANT,Precision,45.83
17,Minimal,Viking-7B,ERRANT,Precision,72.0
18,Minimal,Viking-7B,ERRANT,Precision,41.67
19,Minimal,Viking-7B,ERRANT,Precision,44.23
20,Minimal,Viking-7B,ERRANT,Precision,50.0
21,Minimal,Viking-7B,ERRANT,Precision,66.67
22,Minimal,Viking-7B,ERRANT,Precision,46.55
23,Minimal,Viking-7B,ERRANT,Precision,53.85
24,Minimal,Viking-7B,ERRANT,Precision,57.14
25,Minimal,Viking-7B,ERRANT,Precision,64.29
26,Minimal,Viking-7B,ERRANT,Precision,53.85
27,Minimal,Viking-7B,ERRANT,Precision,50.0
28,Minimal,Viking-7B,ERRANT,Precision,50.0
29,Minimal,Viking-7B,ERRANT,Precision,63.16
30,Minimal,Viking-7B,ERRANT,Precision,56.25
31,Minimal,Viking-7B,ERRANT,Precision,62.5
32,Minimal,Viking-7B,ERRANT,Precision,46.25
33,Minimal,Viking-7B,ERRANT,Precision,29.63
34,Minimal,Viking-7B,ERRANT,Precision,61.54
35,Minimal,Viking-7B,ERRANT,Precision,50.0
36,Minimal,Viking-7B,ERRANT,Precision,44.44
37,Minimal,Viking-7B,ERRANT,Precision,45.45
38,Minimal,Viking-7B,ERRANT,Precision,56.25
39,Minimal,Viking-7B,ERRANT,Precision,50.0
40,Minimal,Viking-7B,ERRANT,Precision,50.0
41,Minimal,Viking-7B,ERRANT,Precision,74.07
42,Minimal,Viking-7B,ERRANT,Precision,62.16
43,Minimal,Viking-7B,ERRANT,Precision,34.29
44,Minimal,Viking-7B,ERRANT,Precision,50.0
45,Minimal,Viking-7B,ERRANT,Precision,64.29
46,Minimal,Viking-7B,ERRANT,Precision,44.74
47,Minimal,Viking-7B,ERRANT,Precision,52.27
48,Minimal,Viking-7B,ERRANT,Precision,47.76
49,Minimal,Viking-7B,ERRANT,Precision,60.71
50,Minimal,Viking-7B,ERRANT,Precision,45.16
1,Fluency,Viking-7B,ERRANT,Precision,60.0
2,Fluency,Viking-7B,ERRANT,Precision,46.15
3,Fluency,Viking-7B,ERRANT,Precision,45.83
4,Fluency,Viking-7B,ERRANT,Precision,30.3
5,Fluency,Viking-7B,ERRANT,Precision,33.33
6,Fluency,Viking-7B,ERRANT,Precision,44.12
7,Fluency,Viking-7B,ERRANT,Precision,50.0
8,Fluency,Viking-7B,ERRANT,Precision,21.31
9,Fluency,Viking-7B,ERRANT,Precision,37.5
10,Fluency,Viking-7B,ERRANT,Precision,62.86
11,Fluency,Viking-7B,ERRANT,Precision,41.18
12,Fluency,Viking-7B,ERRANT,Precision,50.0
13,Fluency,Viking-7B,ERRANT,Precision,39.29
14,Fluency,Viking-7B,ERRANT,Precision,43.48
15,Fluency,Viking-7B,ERRANT,Precision,76.47
16,Fluency,Viking-7B,ERRANT,Precision,51.72
17,Fluency,Viking-7B,ERRANT,Precision,59.09
18,Fluency,Viking-7B,ERRANT,Precision,47.37
19,Fluency,Viking-7B,ERRANT,Precision,40.68
20,Fluency,Viking-7B,ERRANT,Precision,50.0
21,Fluency,Viking-7B,ERRANT,Precision,50.0
22,Fluency,Viking-7B,ERRANT,Precision,41.82
23,Fluency,Viking-7B,ERRANT,Precision,47.06
24,Fluency,Viking-7B,ERRANT,Precision,31.03
25,Fluency,Viking-7B,ERRANT,Precision,39.13
26,Fluency,Viking-7B,ERRANT,Precision,40.74
27,Fluency,Viking-7B,ERRANT,Precision,37.93
28,Fluency,Viking-7B,ERRANT,Precision,40.0
29,Fluency,Viking-7B,ERRANT,Precision,71.43
30,Fluency,Viking-7B,ERRANT,Precision,43.4
31,Fluency,Viking-7B,ERRANT,Precision,56.1
32,Fluency,Viking-7B,ERRANT,Precision,33.68
33,Fluency,Viking-7B,ERRANT,Precision,35.48
34,Fluency,Viking-7B,ERRANT,Precision,32.35
35,Fluency,Viking-7B,ERRANT,Precision,28.95
36,Fluency,Viking-7B,ERRANT,Precision,25.0
37,Fluency,Viking-7B,ERRANT,Precision,60.0
38,Fluency,Viking-7B,ERRANT,Precision,52.94
39,Fluency,Viking-7B,ERRANT,Precision,41.86
40,Fluency,Viking-7B,ERRANT,Precision,42.86
41,Fluency,Viking-7B,ERRANT,Precision,64.52
42,Fluency,Viking-7B,ERRANT,Precision,53.85
43,Fluency,Viking-7B,ERRANT,Precision,32.26
44,Fluency,Viking-7B,ERRANT,Precision,50.0
45,Fluency,Viking-7B,ERRANT,Precision,65.0
46,Fluency,Viking-7B,ERRANT,Precision,39.02
47,Fluency,Viking-7B,ERRANT,Precision,43.64
48,Fluency,Viking-7B,ERRANT,Precision,45.45
49,Fluency,Viking-7B,ERRANT,Precision,48.28
50,Fluency,Viking-7B,ERRANT,Precision,34.48
1,Minimal,Viking-13B,ERRANT,Precision,69.7
2,Minimal,Viking-13B,ERRANT,Precision,70.0
3,Minimal,Viking-13B,ERRANT,Precision,38.24
4,Minimal,Viking-13B,ERRANT,Precision,39.13
5,Minimal,Viking-13B,ERRANT,Precision,47.62
6,Minimal,Viking-13B,ERRANT,Precision,51.85
7,Minimal,Viking-13B,ERRANT,Precision,50.0
8,Minimal,Viking-13B,ERRANT,Precision,35.56
9,Minimal,Viking-13B,ERRANT,Precision,45.45
10,Minimal,Viking-13B,ERRANT,Precision,78.79
11,Minimal,Viking-13B,ERRANT,Precision,60.0
12,Minimal,Viking-13B,ERRANT,Precision,53.85
13,Minimal,Viking-13B,ERRANT,Precision,66.67
14,Minimal,Viking-13B,ERRANT,Precision,56.25
15,Minimal,Viking-13B,ERRANT,Precision,66.67
16,Minimal,Viking-13B,ERRANT,Precision,57.14
17,Minimal,Viking-13B,ERRANT,Precision,70.0
18,Minimal,Viking-13B,ERRANT,Precision,85.71
19,Minimal,Viking-13B,ERRANT,Precision,54.41
20,Minimal,Viking-13B,ERRANT,Precision,61.54
21,Minimal,Viking-13B,ERRANT,Precision,73.33
22,Minimal,Viking-13B,ERRANT,Precision,53.06
23,Minimal,Viking-13B,ERRANT,Precision,42.42
24,Minimal,Viking-13B,ERRANT,Precision,50.0
25,Minimal,Viking-13B,ERRANT,Precision,69.23
26,Minimal,Viking-13B,ERRANT,Precision,50.0
27,Minimal,Viking-13B,ERRANT,Precision,51.72
28,Minimal,Viking-13B,ERRANT,Precision,87.5
29,Minimal,Viking-13B,ERRANT,Precision,64.29
30,Minimal,Viking-13B,ERRANT,Precision,66.67
31,Minimal,Viking-13B,ERRANT,Precision,47.37
32,Minimal,Viking-13B,ERRANT,Precision,36.78
33,Minimal,Viking-13B,ERRANT,Precision,33.33
